ground_truth,prediction,score
-1,-1,-0.08410513299448918
-1,-1,-0.16106613291167682
-1,-1,-0.22811246539646501
-1,-1,-0.20575821909103686
-1,-1,-0.0730992569222233
-1,-1,-0.05683638963063409
-1,-1,-0.05962952315295211
1,1,0.08324751801591673
-1,-1,-0.21486036029564703
-1,-1,-0.21606252531962078
-1,-1,-0.04885562661411946
-1,-1,-0.23050284700497636
-1,-1,-0.20576235324092707
-1,-1,-0.18391983840790083
-1,-1,-0.228621583627847
-1,-1,-0.14502038103757253
-1,-1,-0.15968311189331386
-1,-1,-0.16077403862736284
-1,-1,-0.11028565720335592
-1,-1,-0.11132227306202214
-1,-1,-0.055473562237663754
-1,-1,-0.0656856970625298
-1,-1,-0.16378833241769775
-1,-1,-0.20288750635614294
-1,-1,-0.15330181607030569
-1,1,0.005495969097550402
1,1,0.08397724779115967
-1,-1,-0.0543680312624803
-1,-1,-0.17036321657800935
-1,-1,-0.10311424939865244
-1,-1,-0.06203894933861187
-1,-1,-0.08925484122456528
-1,-1,-0.05655136190692389
-1,-1,-0.017618425706643015
1,1,0.08351664814814691
1,1,0.08504154392089386
1,1,0.0844654485642386
1,1,0.08113696351365557
-1,-1,-0.19042010740482784
-1,-1,-0.19215662919261267
1,1,0.08298377179422639
-1,-1,-0.04429897082115558
-1,-1,-0.23277029801404503
-1,-1,-0.24029140715059016
-1,-1,-0.23258255762279012
-1,-1,-0.21138000065787543
-1,-1,-0.1976708172989713
-1,-1,-0.12515028060904676
-1,-1,-0.0610957844593934
-1,-1,-0.04012498451031987
1,1,0.08368861887692919
-1,-1,-0.03007485554609285
-1,-1,-0.06009629098443725
-1,-1,-0.22065634895930897
-1,-1,-0.22345565417246027
-1,-1,-0.1396379023919042
-1,-1,-0.09834638860700162
1,1,0.08366121490178402
-1,-1,-0.06019880554733231
-1,-1,-0.06972575946343418
-1,-1,-0.11144538742121368
-1,-1,-0.18248357866112908
-1,-1,-0.21304379370338367
-1,-1,-0.2377802381072608
-1,-1,-0.23523623666734328
-1,-1,-0.20277792933755645
-1,-1,-0.2051850145243076
-1,-1,-0.16035023903509726
-1,-1,-0.06705047323361923
-1,-1,-0.05995824106654973
-1,-1,-0.0987903875122641
-1,-1,-0.22488056393330802
-1,-1,-0.23729956976184252
-1,-1,-0.06206522281185267
-1,-1,-0.06836928113119412
-1,-1,-0.22646524598451523
-1,-1,-0.23590370758406876
-1,-1,-0.17343708931123458
-1,-1,-0.1632200711719748
-1,-1,-0.11126720618611663
-1,-1,-0.14870282242998856
-1,-1,-0.209410727503336
-1,-1,-0.16827714387891524
-1,-1,-0.15641221309312103
-1,-1,-0.0665247224135549
-1,-1,-0.060067040306473085
1,1,0.08426345512720118
-1,-1,-0.16035352600333974
-1,-1,-0.21645219571069474
-1,-1,-0.05977051420641921
-1,-1,-0.16025384705462287
-1,-1,-0.19940965078254613
-1,-1,-0.11132227306202214
-1,-1,-0.1948452724449008
-1,-1,-0.23175419595729674
-1,-1,-0.21204975317247965
-1,-1,-0.16045295220187406
-1,-1,-0.09413760179039865
-1,-1,-0.08511275232080484
-1,-1,-0.10450460724053268
-1,-1,-0.22564006649315016
-1,-1,-0.2357285842315061
-1,-1,-0.2430761975287381
-1,-1,-0.21859573357878292
-1,-1,-0.1860937368144724
-1,-1,-0.1598416490807386
-1,-1,-0.10074602092517504
-1,-1,-0.1337041616826169
-1,-1,-0.20338602582697274
-1,-1,-0.10900477227351946
1,1,0.0831527880654932
1,1,0.08340910417177294
-1,-1,-0.043131618774022384
-1,-1,-0.08132676723503263
-1,-1,-0.19509505215677259
-1,-1,-0.23966662918816029
-1,-1,-0.10905359798345815
-1,-1,-0.16049434880422198
-1,-1,-0.10259485509270516
-1,-1,-0.12324022742806162
-1,-1,-0.1562411653522242
-1,-1,-0.15998465762866776
-1,-1,-0.11144538742121368
-1,-1,-0.03678012467386199
-1,-1,-0.11144538742121368
-1,-1,-0.12375478704450871
-1,-1,-0.05785931064388511
-1,-1,-0.07537288148179289
-1,-1,-0.1845544324199926
-1,-1,-0.16444500121821715
-1,-1,-0.06315625732728825
-1,-1,-0.0638466054772146
1,1,0.08305589745158465
1,1,0.08427355170730666
-1,-1,-0.160212467184901
-1,-1,-0.20682125790854977
-1,-1,-0.19239735456417373
-1,-1,-0.1082813459507369
-1,-1,-0.06313460262698356
1,1,0.08373634835997956
-1,-1,-0.06071628913820609
-1,-1,-0.1698963335964142
-1,-1,-0.24896921648154002
-1,-1,-0.1863202076382986
-1,-1,-0.25491780320771096
-1,-1,-0.25600164143640014
-1,-1,-0.27262454843090267
-1,-1,-0.26328137477615265
-1,-1,-0.2046830932262107
-1,-1,-0.23399431483717426
-1,-1,-0.24304854530791675
-1,-1,-0.09242420615110125
-1,-1,-0.04270123506434176
1,1,0.07587728889595441
-1,-1,-0.09654217792864939
-1,-1,-0.22927960451164286
-1,-1,-0.16305404318140626
-1,-1,-0.06541433034907934
-1,-1,-0.17598958445435253
-1,-1,-0.1823104495526109
-1,-1,-0.10613199746405655
-1,-1,-0.07406621960675097
-1,-1,-0.09071170655324845
-1,-1,-0.07269525486705763
1,1,0.08559463962329361
1,1,0.07996343114887178
1,1,0.07682217365661853
-1,-1,-0.05910560382624125
-1,-1,-0.09445188271110838
-1,-1,-0.12075230030296613
-1,-1,-0.09119674733559757
-1,1,0.0003161535672360216
-1,-1,-0.1628423499599575
-1,-1,-0.23538170957047733
-1,-1,-0.2353098112411317
-1,-1,-0.23083910047931788
-1,-1,-0.1981923718995764
-1,-1,-0.09513600941755984
1,1,0.0893094347781192
-1,-1,-0.057576322395840096
-1,-1,-0.11798393712887179
-1,-1,-0.09785944254248724
-1,-1,-0.12700199318941308
-1,-1,-0.1877133941317839
-1,-1,-0.19939223310724974
-1,-1,-0.23807665762394525
-1,-1,-0.22304250420879312
-1,-1,-0.08886603824094863
-1,-1,-0.11800524840502413
-1,-1,-0.11849606833718274
1,1,0.08607030374574315
1,1,0.0878550113353962
-1,-1,-0.17157193577901164
-1,-1,-0.2130488255508428
-1,-1,-0.2295314425957038
-1,-1,-0.20344936461169594
-1,-1,-0.1181441434355529
1,1,0.08939510889912633
